"Path","LineNumber","SourceText","Category","Priority","SuggestedKey","Module","Status"
"ViewModels/MainViewModel.cs","439","开启后，会先检测当前电脑是否存在可用的 GPU 视频硬件编码能力；若不适用或不可用，会自动回退为 CPU 转码，不会影响任务继续执行。音频任务、字幕任务与部分旧式视频格式仍会继续使用 CPU。","ViewModelMessage","P0","mainWindow.mainViewModel.line439.message","main-window","Pending"
"ViewModels/MainViewModel.cs","440","关闭后，真正转码会始终使用 CPU 重新编码，速度更稳定，也不会额外检测显卡能力。","ViewModelMessage","P0","mainWindow.mainViewModel.line440.message","main-window","Pending"
"ViewModels/MainViewModel.cs","471","等待导入","ViewModelMessage","P0","mainWindow.mainViewModel.line471.message","main-window","Pending"
"ViewModels/MainViewModel.cs","472","1 个文件","ViewModelMessage","P0","mainWindow.mainViewModel.line472.message","main-window","Pending"
"ViewModels/MainViewModel.cs","473","{ImportItems.Count} 个文件","ViewModelMessage","P0","mainWindow.mainViewModel.line473.message","main-window","Pending"
"ViewModels/MainViewModel.cs","557","已启用系统托盘，点击关闭按钮后会隐藏到托盘中继续运行。","ViewModelMessage","P0","mainWindow.mainViewModel.line557.message","main-window","Pending"
"ViewModels/MainViewModel.cs","558","已关闭系统托盘，点击关闭按钮将直接退出应用。","ViewModelMessage","P0","mainWindow.mainViewModel.line558.message","main-window","Pending"
"ViewModels/MainViewModel.Details.cs","65","已从缓存载入 {item.InputFileName} 的详情。","ViewModelMessage","P0","mainWindow.mainViewModelDetails.statusMessage.status","main-window","Pending"
"ViewModels/MainViewModel.Details.cs","76","正在解析 {item.InputFileName} 的媒体详情...","ViewModelMessage","P0","mainWindow.mainViewModelDetails.statusMessage.status","main-window","Pending"
"ViewModels/MainViewModel.Details.cs","100","媒体详情已加载：{item.InputFileName}","ViewModelMessage","P0","mainWindow.mainViewModelDetails.statusMessage.status","main-window","Pending"
"ViewModels/MainViewModel.Details.cs","104","无法解析该媒体文件。","ViewModelMessage","P0","mainWindow.mainViewModelDetails.line104.message","main-window","Pending"
"ViewModels/MainViewModel.Details.cs","114","读取媒体详情时发生异常。","ViewModelMessage","P0","mainWindow.mainViewModelDetails.log.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","70","本次仅处理当前{GetMediaLabel(executionWorkspaceKind)}模块中的 {executionItems.Count} 个文件；另一模块暂存的 {standbyItemCount} 个文件会保留，不会参与本次处理。","ConfigurationDisplayText","P0","mainWindow.mainViewModelExecution.line70.display","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","88","当前队列中没有可执行的文件，请检查媒体轨道后重试。","ViewModelMessage","P0","mainWindow.mainViewModelExecution.line88.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","89","当前队列中的文件都不满足所选处理模式，未执行处理。","ViewModelMessage","P0","mainWindow.mainViewModelExecution.line89.message","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","94","开始处理当前{GetMediaLabel(executionWorkspaceKind)}模块中的 {executionItems.Count} 个文件...","ConfigurationDisplayText","P0","mainWindow.mainViewModelExecution.statusMessage.display","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","95","开始处理当前{GetMediaLabel(executionWorkspaceKind)}模块中的 {executionItems.Count} 个文件。","ConfigurationDisplayText","P0","mainWindow.mainViewModelExecution.log.display","main-window","Pending"
"ViewModels/MainViewModel.Execution.cs","99","开始处理 {processableCount} 个文件，已提前跳过 {preflightFailedCount} 个不符合当前模式的文件。","ViewModelMessage","P0","mainWindow.mainViewModelExecution.statusMessage.status","main-window","Pending"
